Gender,Married,Dependents,Education,Self_Employed,ApplicantIncomeIn10K,LoanAmountinK,Loan_Amount_Term_In_Years,Credit_History,Property_Area,Loan_Status
1,0,0,1,0,0.5849,0,1.0112359551,1,1,1
1,1,1,1,0,0.4583,0.128,1.0112359551,1,0,0
1,1,0,1,1,0.3,0.066,1.0112359551,1,1,1
1,1,0,0,0,0.2583,0.12,1.0112359551,1,1,1
1,0,0,1,0,0.6,0.141,1.0112359551,1,1,1
1,1,2,1,1,0.5417,0.267,1.0112359551,1,1,1
1,1,0,0,0,0.2333,0.095,1.0112359551,1,1,1
1,1,3,1,0,0.3036,0.158,1.0112359551,0,2,0
1,1,2,1,0,0.4006,0.168,1.0112359551,1,1,1
1,1,1,1,0,1.2841,0.349,1.0112359551,1,2,0
1,1,2,1,0,0.32,0.07,1.0112359551,1,1,1
1,1,2,1,0,0.25,0.109,1.0112359551,1,1,1
1,1,2,1,0,0.3073,0.2,1.0112359551,1,1,1
1,0,0,1,0,0.1853,0.114,1.0112359551,1,0,0
1,1,2,1,0,0.1299,0.017,0.3370786517,1,1,1
1,0,0,1,0,0.495,0.125,1.0112359551,1,1,1
1,0,1,0,0,0.3596,0.1,0.6741573034,0,1,1
0,0,0,1,0,0.351,0.076,1.0112359551,0,1,0
1,1,0,0,0,0.4887,0.133,1.0112359551,1,0,0
1,1,0,1,0,0.26,0.115,0,1,1,1
1,1,0,0,0,0.766,0.104,1.0112359551,0,1,0
1,1,1,1,0,0.5955,0.315,1.0112359551,1,1,1
1,1,0,0,0,0.26,0.116,1.0112359551,0,2,0
0,1,2,0,0,0.3365,0.112,1.0112359551,0,0,0
1,1,1,1,0,0.3717,0.151,1.0112359551,0,2,0
1,1,0,1,1,0.956,0.191,1.0112359551,1,2,1
1,1,0,1,0,0.2799,0.122,1.0112359551,1,2,1
1,1,2,0,0,0.4226,0.11,1.0112359551,1,1,1
1,0,0,0,0,0.1442,0.035,1.0112359551,1,1,0
0,0,2,1,0,0.375,0.12,1.0112359551,1,2,1
1,1,1,1,0,0.4166,0.201,1.0112359551,0,1,0
1,0,0,1,0,0.3167,0.074,1.0112359551,1,1,0
1,0,1,1,1,0.4692,0.106,1.0112359551,1,0,0
